Pitch_type,x,y,Call
Slider,0.573616,0.47247,Hit
Slider,0.658907,0.171017,Hit
Fast,0.45327,0.416809,Hit
Fast,0.300252,0.596762,Hit
Fast,0.494775,0.578091,Hit
Fast,0.539897,0.572645,Hit
Change-up,0.690845,0.387403,Hit
Slider,0.62293,0.790373,Ball
Slider,0.315388,0.622676,Strike
Slider,0.332478,0.226357,Strike
Change-up,0.503796,0.595942,Strike
Slider,0.293553,0.614354,Hit
Change-up,0.672974,0.891298,Ball
Fast,0.533031,0.576274,Hit
Change-up,0.344635,0.731904,Ball
Change-up,0.678207,0.350784,Hit
Change-up,0.479567,0.358338,Hit
Fast,0.514977,0.37407,Hit
Change-up,0.165546,0.397658,Ball
Change-up,0.522896,0.687429,Strike
Slider,0.322808,0.19002,Strike
Slider,0.31367,0.358433,Hit
Slider,0.519431,0.622492,Hit
Slider,0.544727,0.339305,Hit
Slider,0.653526,0.623002,Strike
Change-up,0.686922,0.685033,Strike
Slider,0.458784,0.651167,Strike
Fast,0.673828,0.651895,Hit
Slider,0.639626,0.567325,Hit
Fast,0.430367,0.44761,Hit
Curve,0.271614,0.453557,Hit
Curve,0.652655,0.0304994,Ball
Curve,0.70573,0.2541,Strike
Slider,0.489213,0.129373,Hit
Fast,0.259837,0.355157,Hit
Curve,0.492123,0.419038,Hit
Slider,0.377097,0.512447,Strike
Slider,0.611973,0.344735,Hit
Fast,0.665002,0.592508,Strike
Change-up,0.414065,0.930715,Ball
Slider,0.428748,0.537764,Hit
Change-up,0.255786,0.463104,Strike
Fast,0.484946,0.565887,Hit
Change-up,0.575111,0.728797,Ball
Curve,0.733969,0.526126,Hit
Curve,0.301897,0.404577,Hit
Fast,0.496492,0.229875,Hit
Curve,0.669826,0.463568,Hit
Change-up,0.284633,0.318664,Strike
Fast,0.46878,0.229756,Strike
Curve,0.6269,0.353385,Hit
Slider,0.3984,0.182861,Strike
Slider,0.283524,0.266655,Strike
Change-up,0.725462,0.156761,Strike
Fast,0.588339,0.242687,Hit
Curve,0.391997,0.351665,Hit
Change-up,0.249562,0.00216611,Ball
Change-up,0.682695,0.307557,Hit
Change-up,0.641296,0.504026,Hit
Change-up,0.311492,0.41748,Strike
Fast,0.289719,0.383635,Hit
Fast,0.70369,0.203389,Hit
Slider,0.740691,0.636543,Strike
Curve,0.844109,0.646386,Ball
Fast,0.701169,0.201001,Hit
Fast,0.710681,0.556283,Hit
Curve,0.374088,0.176234,Hit
Change-up,0.699905,0.605365,Hit
Slider,0.438414,0.0791005,Ball
Change-up,0.83313,0.471258,Ball
Change-up,0.298877,0.149801,Strike
Curve,0.677128,0.365831,Hit
Curve,0.482653,0.397328,Hit
Change-up,0.642315,0.258438,Hit
Slider,0.364234,0.311814,Hit
Change-up,0.256018,0.32254,Hit
Fast,0.342866,0.216445,Strike
Fast,0.494084,0.661352,Strike
Change-up,0.298307,0.375407,Hit
Change-up,0.709968,0.57373,Hit
Fast,0.317346,0.193506,Hit
Slider,0.440833,0.281429,Strike
Fast,0.710329,0.382021,Strike
Fast,0.699048,0.257046,Hit
Slider,0.334068,0.276233,Strike
Curve,0.750056,0.438293,Hit
Fast,0.697027,0.595251,Hit
Curve,0.284938,0.419267,Hit
Change-up,0.262192,0.302404,Hit
Change-up,0.194163,0.173348,Ball
Curve,0.49793,0.611529,Hit
Fast,0.314377,0.305275,Hit
Change-up,0.54262,0.238995,Hit
Curve,0.712633,0.44293,Strike
Fast,0.519342,0.234782,Hit
Slider,0.726912,0.140251,Strike
Slider,0.477034,0.139287,Strike
Change-up,0.225997,0,Ball
Curve,0.243297,0.292964,Hit
Slider,0.608664,0.766307,Ball
