time,name1,name2,weight
2005,Lea,Lucas,4
2005,Lucas,Lea,4
2005,Nathan,Nathan,1
2005,Lucas,Lucas,1
2005,Lea,Lea,1
2005,Louise,Louise,2
2006,Lucas,Nathan,2
2006,Nathan,Louise,2
2006,Lucas,Lea,8
2006,Louise,Nathan,2
2006,Louise,Lucas,2
2006,Lea,Lucas,8
2006,Nathan,Lucas,2
2006,Lucas,Louise,2
2006,Lucas,Lucas,3
2006,Emma,Emma,1
2006,Louise,Louise,1
2007,Lucas,Camille,4
2007,Lucas,Enzo,2
2007,Lea,Nathan,2
2007,Nathan,Camille,4
2007,Enzo,Lucas,2
2007,Emma,Lea,2
2007,Louise,Camille,4
2007,Lea,Camille,2
2007,Lucas,Emma,2
2007,Camille,Lea,2
2007,Enzo,Lea,2
2007,Chloe,Louise,2
2007,Chloe,Camille,2
2007,Louise,Nathan,8
2007,Lea,Lucas,8
2007,Nathan,Chloe,2
2007,Lucas,Chloe,2
2007,Chloe,Lucas,2
2007,Camille,Chloe,2
2007,Nathan,Lucas,8
2007,Emma,Lucas,2
2007,Chloe,Nathan,2
2007,Louise,Lea,2
2007,Camille,Nathan,4
2007,Nathan,Louise,8
2007,Lucas,Louise,8
2007,Lucas,Nathan,8
2007,Chloe,Lea,2
2007,Lea,Louise,2
2007,Lea,Emma,2
2007,Nathan,Lea,2
2007,Lea,Chloe,2
2007,Louise,Lucas,8
2007,Camille,Lucas,4
2007,Lea,Enzo,2
2007,Louise,Chloe,2
2007,Camille,Louise,4
2007,Lucas,Lea,8
2007,Hugo,Hugo,2
2007,Louise,Louise,1
2007,Sarah,Sarah,1
2007,Camille,Camille,1
2007,Enzo,Enzo,1
2007,Emma,Emma,1
2007,Chloe,Chloe,1
2008,Louise,Camille,2
2008,Emma,Lucas,2
2008,Camille,Louise,2
2008,Lucas,Gabriel,2
2008,Lucas,Camille,4
2008,Camille,Nathan,4
2008,Nathan,Louise,4
2008,Lucas,Louise,4
2008,Lucas,Nathan,6
2008,Louise,Lucas,4
2008,Camille,Lea,2
2008,Camille,Lucas,4
2008,Nathan,Lucas,6
2008,Nathan,Lea,2
2008,Lucas,Lea,2
2008,Nathan,Camille,4
2008,Emma,Enzo,2
2008,Gabriel,Lucas,2
2008,Louise,Nathan,4
2008,Lea,Camille,2
2008,Lea,Lucas,2
2008,Lea,Louise,2
2008,Lea,Nathan,2
2008,Enzo,Emma,2
2008,Lucas,Emma,2
2008,Louise,Lea,2
2008,Camille,Camille,1
2008,Emma,Emma,3
2008,Sarah,Sarah,1
2008,Gabriel,Gabriel,2
2008,Hugo,Hugo,1
2008,Louise,Louise,1
2009,Hugo,Lucas,4
2009,Lucas,Sarah,2
2009,Lucas,Lea,2
2009,Louise,Hugo,2
2009,Louise,Camille,4
2009,Hugo,Louise,2
2009,Enzo,Hugo,4
2009,Gabriel,Nathan,4
2009,Enzo,Louise,2
2009,Lea,Lucas,2
2009,Sarah,Lucas,2
2009,Camille,Nathan,4
2009,Camille,Hugo,2
2009,Enzo,Camille,2
2009,Louise,Gabriel,10
2009,Camille,Lucas,6
2009,Emma,Enzo,2
2009,Enzo,Lucas,2
2009,Camille,Enzo,2
2009,Gabriel,Louise,10
2009,Lucas,Camille,6
2009,Sarah,Louise,2
2009,Nathan,Louise,6
2009,Nathan,Camille,4
2009,Nathan,Lea,2
2009,Camille,Lea,2
2009,Gabriel,Lucas,10
2009,Nathan,Gabriel,4
2009,Louise,Nathan,6
2009,Louise,Sarah,2
2009,Nathan,Lucas,8
2009,Enzo,Emma,2
2009,Louise,Enzo,2
2009,Camille,Sarah,2
2009,Lea,Camille,2
2009,Hugo,Camille,2
2009,Enzo,Sarah,4
2009,Lucas,Hugo,4
2009,Sarah,Camille,2
2009,Camille,Louise,4
2009,Hugo,Enzo,4
2009,Sarah,Enzo,4
2009,Lucas,Louise,14
2009,Lucas,Enzo,2
2009,Lucas,Gabriel,10
2009,Lea,Nathan,2
2009,Lucas,Nathan,8
2009,Lea,Louise,2
2009,Louise,Lea,2
2009,Sarah,Hugo,2
2009,Hugo,Sarah,2
2009,Louise,Lucas,14
2009,Sarah,Sarah,1
2009,Camille,Camille,1
2009,Hugo,Hugo,1
2009,Gabriel,Gabriel,2
2009,Emma,Emma,4
2010,Nathan,Lea,2
2010,Sarah,Lucas,4
2010,Lea,Nathan,2
2010,Camille,Sarah,2
2010,Gabriel,Lucas,10
2010,Louise,Lea,2
2010,Hugo,Lucas,6
2010,Nathan,Camille,4
2010,Enzo,Louise,2
2010,Nathan,Lucas,6
2010,Camille,Hugo,2
2010,Lucas,Nathan,6
2010,Lucas,Hugo,6
2010,Lucas,Camille,6
2010,Louise,Gabriel,12
2010,Louise,Camille,4
2010,Sarah,Louise,4
2010,Hugo,Louise,2
2010,Lucas,Sarah,4
2010,Gabriel,Sarah,2
2010,Camille,Louise,4
2010,Nathan,Gabriel,2
2010,Camille,Lucas,6
2010,Nathan,Louise,4
2010,Lucas,Lea,2
2010,Enzo,Camille,2
2010,Enzo,Lucas,2
2010,Lucas,Enzo,2
2010,Lucas,Gabriel,10
2010,Hugo,Enzo,2
2010,Sarah,Gabriel,2
2010,Louise,Hugo,2
2010,Lea,Lucas,2
2010,Camille,Nathan,4
2010,Sarah,Enzo,2
2010,Gabriel,Louise,12
2010,Camille,Enzo,2
2010,Lucas,Louise,14
2010,Louise,Lucas,14
2010,Enzo,Sarah,2
2010,Hugo,Sarah,2
2010,Enzo,Hugo,2
2010,Louise,Sarah,4
2010,Sarah,Hugo,2
2010,Lea,Louise,2
2010,Camille,Lea,2
2010,Sarah,Camille,2
2010,Lea,Camille,2
2010,Hugo,Camille,2
2010,Louise,Enzo,2
2010,Gabriel,Nathan,2
2010,Louise,Nathan,4
2010,Enzo,Enzo,1
2010,Emma,Emma,1
2010,Chloe,Chloe,1
2010,Camille,Camille,1
2010,Hugo,Hugo,1
